"Sample_1","Sample_2","Site_1","Site_2","Bray_Curtis","Pair"
"220606_02","220707_14","Veragua","Altos de Campana",0.440602002462203,"Veragua vs Altos de Campana"
"220606_04","220707_14","Veragua","Altos de Campana",0.741626645018511,"Veragua vs Altos de Campana"
"220607_01","220707_14","Veragua","Altos de Campana",0.423896586161511,"Veragua vs Altos de Campana"
"220607_02","220707_14","Veragua","Altos de Campana",0.586630096081228,"Veragua vs Altos de Campana"
"220607_03","220707_14","Veragua","Altos de Campana",0.352220364747258,"Veragua vs Altos de Campana"
"220607_04","220707_14","Veragua","Altos de Campana",0.48665076129538,"Veragua vs Altos de Campana"
"220609_01","220707_14","Veragua","Altos de Campana",0.805257692308295,"Veragua vs Altos de Campana"
"220609_02","220707_14","Veragua","Altos de Campana",0.397057854930659,"Veragua vs Altos de Campana"
"220609_03","220707_14","Veragua","Altos de Campana",0.57077185739742,"Veragua vs Altos de Campana"
"220609_04","220707_14","Veragua","Altos de Campana",0.488978361166758,"Veragua vs Altos de Campana"
"220609_07","220707_14","Veragua","Altos de Campana",0.506807478057373,"Veragua vs Altos de Campana"
"220707_11","220707_14","Altos de Campana","Altos de Campana",0.300039829724155,"Altos de Campana vs Altos de Campana"
"220707_12","220707_14","Altos de Campana","Altos de Campana",0.392716335754251,"Altos de Campana vs Altos de Campana"
"220707_13","220707_14","Altos de Campana","Altos de Campana",0.301724967584373,"Altos de Campana vs Altos de Campana"
"220604_01","220707_15","Veragua","Altos de Campana",0.607887512819252,"Veragua vs Altos de Campana"
"220604_02","220707_15","Veragua","Altos de Campana",0.658416513462675,"Veragua vs Altos de Campana"
"220604_03","220707_15","Veragua","Altos de Campana",0.780021398554563,"Veragua vs Altos de Campana"
"220604_04","220707_15","Veragua","Altos de Campana",0.718142409846797,"Veragua vs Altos de Campana"
"220604_05","220707_15","Veragua","Altos de Campana",0.679148714410246,"Veragua vs Altos de Campana"
"220604_06","220707_15","Veragua","Altos de Campana",0.61211032582278,"Veragua vs Altos de Campana"
"220604_07","220707_15","Veragua","Altos de Campana",0.527631175091548,"Veragua vs Altos de Campana"
"220606_02","220707_15","Veragua","Altos de Campana",0.62087452960288,"Veragua vs Altos de Campana"
"220606_04","220707_15","Veragua","Altos de Campana",0.816662542602728,"Veragua vs Altos de Campana"
"220607_01","220707_15","Veragua","Altos de Campana",0.546494371231617,"Veragua vs Altos de Campana"
"220607_02","220707_15","Veragua","Altos de Campana",0.674398354723291,"Veragua vs Altos de Campana"
"220607_03","220707_15","Veragua","Altos de Campana",0.486469443599366,"Veragua vs Altos de Campana"
"220607_04","220707_15","Veragua","Altos de Campana",0.577564918371541,"Veragua vs Altos de Campana"
"220609_01","220707_15","Veragua","Altos de Campana",0.844455743587397,"Veragua vs Altos de Campana"
"220609_02","220707_15","Veragua","Altos de Campana",0.613597849883102,"Veragua vs Altos de Campana"
"220609_03","220707_15","Veragua","Altos de Campana",0.601550577222677,"Veragua vs Altos de Campana"
"220609_04","220707_15","Veragua","Altos de Campana",0.650178234665157,"Veragua vs Altos de Campana"
"220609_07","220707_15","Veragua","Altos de Campana",0.656441446683815,"Veragua vs Altos de Campana"
"220707_11","220707_15","Altos de Campana","Altos de Campana",0.501570364378532,"Altos de Campana vs Altos de Campana"
"220707_12","220707_15","Altos de Campana","Altos de Campana",0.507062322324746,"Altos de Campana vs Altos de Campana"
"220707_13","220707_15","Altos de Campana","Altos de Campana",0.510588262013932,"Altos de Campana vs Altos de Campana"
"220707_14","220707_15","Altos de Campana","Altos de Campana",0.506284619677742,"Altos de Campana vs Altos de Campana"
"220604_01","220707_16","Veragua","Altos de Campana",0.667852696491606,"Veragua vs Altos de Campana"
"220604_02","220707_16","Veragua","Altos de Campana",0.77385803876305,"Veragua vs Altos de Campana"
"220604_03","220707_16","Veragua","Altos de Campana",0.759706964592504,"Veragua vs Altos de Campana"
"220604_04","220707_16","Veragua","Altos de Campana",0.661861695283575,"Veragua vs Altos de Campana"
"220604_05","220707_16","Veragua","Altos de Campana",0.671035296287294,"Veragua vs Altos de Campana"
"220604_06","220707_16","Veragua","Altos de Campana",0.650277632191568,"Veragua vs Altos de Campana"
"220604_07","220707_16","Veragua","Altos de Campana",0.431715327734435,"Veragua vs Altos de Campana"
"220606_02","220707_16","Veragua","Altos de Campana",0.478200768684867,"Veragua vs Altos de Campana"
"220606_04","220707_16","Veragua","Altos de Campana",0.774893440436488,"Veragua vs Altos de Campana"
"220607_01","220707_16","Veragua","Altos de Campana",0.401062924288706,"Veragua vs Altos de Campana"
"220607_02","220707_16","Veragua","Altos de Campana",0.623414582732066,"Veragua vs Altos de Campana"
"220607_03","220707_16","Veragua","Altos de Campana",0.336906983411877,"Veragua vs Altos de Campana"
"220607_04","220707_16","Veragua","Altos de Campana",0.54986386333645,"Veragua vs Altos de Campana"
"220609_01","220707_16","Veragua","Altos de Campana",0.840895761991846,"Veragua vs Altos de Campana"
"220609_02","220707_16","Veragua","Altos de Campana",0.563245903121575,"Veragua vs Altos de Campana"
"220609_03","220707_16","Veragua","Altos de Campana",0.641183606724798,"Veragua vs Altos de Campana"
"220609_04","220707_16","Veragua","Altos de Campana",0.464236413092475,"Veragua vs Altos de Campana"
"220609_07","220707_16","Veragua","Altos de Campana",0.558457773875117,"Veragua vs Altos de Campana"
"220707_11","220707_16","Altos de Campana","Altos de Campana",0.422831692768049,"Altos de Campana vs Altos de Campana"
"220707_12","220707_16","Altos de Campana","Altos de Campana",0.295760513338367,"Altos de Campana vs Altos de Campana"
"220707_13","220707_16","Altos de Campana","Altos de Campana",0.406875271277667,"Altos de Campana vs Altos de Campana"
"220707_14","220707_16","Altos de Campana","Altos de Campana",0.328552401200975,"Altos de Campana vs Altos de Campana"
"220707_15","220707_16","Altos de Campana","Altos de Campana",0.592694555444674,"Altos de Campana vs Altos de Campana"
"220604_01","220707_17","Veragua","Altos de Campana",0.712510025263753,"Veragua vs Altos de Campana"
"220604_02","220707_17","Veragua","Altos de Campana",0.784639303630151,"Veragua vs Altos de Campana"
"220604_03","220707_17","Veragua","Altos de Campana",0.774545824279931,"Veragua vs Altos de Campana"
"220604_04","220707_17","Veragua","Altos de Campana",0.716732428555817,"Veragua vs Altos de Campana"
"220604_05","220707_17","Veragua","Altos de Campana",0.69930657310381,"Veragua vs Altos de Campana"
"220604_06","220707_17","Veragua","Altos de Campana",0.686852579738971,"Veragua vs Altos de Campana"
"220604_07","220707_17","Veragua","Altos de Campana",0.534979053112964,"Veragua vs Altos de Campana"
"220606_02","220707_17","Veragua","Altos de Campana",0.524006287012898,"Veragua vs Altos de Campana"
"220606_04","220707_17","Veragua","Altos de Campana",0.81101079111362,"Veragua vs Altos de Campana"
