"Sample_1","Sample_2","Site_1","Site_2","Pair","Metric","Distance"
"250607_08","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",44.338704506028
"250607_09","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",43.6756498566093
"250607_10","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",45.5839744062443
"250607_01","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",45.1186830674128
"250607_02","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",44.9759920259308
"250607_03","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",42.2383556074038
"250607_04","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",39.85924912747
"250607_05","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",44.338414381763
"250607_07","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",50.138824796209
"250607_08","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",46.139009247224
"250607_09","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",42.013059421056
"250607_10","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",42.3712908035037
"250607_01","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",54.0938800818071
"250607_02","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",53.996351197503
"250607_03","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",53.562488660694
"250607_04","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",51.5503290958375
"250607_05","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",53.3453738660135
"250607_07","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",58.5051069819704
"250607_08","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",52.7242061346641
"250607_09","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",51.4018408839472
"250607_10","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",53.6517538640033
"250607_01","220707_11","Lost","Campana","Lost vs Campana","CLR-Aitchison",48.8732327596383
"250607_02","220707_11","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.0815101908664
"250607_03","220707_11","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.5238464329434
"250607_04","220707_11","Lost","Campana","Lost vs Campana","CLR-Aitchison",41.6219624840369
"250607_05","220707_11","Lost","Campana","Lost vs Campana","CLR-Aitchison",46.2199342754996
"250607_07","220707_11","Lost","Campana","Lost vs Campana","CLR-Aitchison",52.0355774353838
"250607_08","220707_11","Lost","Campana","Lost vs Campana","CLR-Aitchison",46.4689704802765
"250607_09","220707_11","Lost","Campana","Lost vs Campana","CLR-Aitchison",44.6154328042046
"250607_10","220707_11","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.798806437456
"250607_01","220707_12","Lost","Campana","Lost vs Campana","CLR-Aitchison",47.8673174642992
"250607_02","220707_12","Lost","Campana","Lost vs Campana","CLR-Aitchison",44.6273648318248
"250607_03","220707_12","Lost","Campana","Lost vs Campana","CLR-Aitchison",39.8102539415127
"250607_04","220707_12","Lost","Campana","Lost vs Campana","CLR-Aitchison",40.8630757589765
"250607_05","220707_12","Lost","Campana","Lost vs Campana","CLR-Aitchison",46.4898345899715
"250607_07","220707_12","Lost","Campana","Lost vs Campana","CLR-Aitchison",53.3965480277517
"250607_08","220707_12","Lost","Campana","Lost vs Campana","CLR-Aitchison",46.23289145004
"250607_09","220707_12","Lost","Campana","Lost vs Campana","CLR-Aitchison",44.4741508925135
"250607_10","220707_12","Lost","Campana","Lost vs Campana","CLR-Aitchison",44.3486129913297
"250607_01","220707_13","Lost","Campana","Lost vs Campana","CLR-Aitchison",47.8160919423305
"250607_02","220707_13","Lost","Campana","Lost vs Campana","CLR-Aitchison",42.150341032774
"250607_03","220707_13","Lost","Campana","Lost vs Campana","CLR-Aitchison",42.396114618447
"250607_04","220707_13","Lost","Campana","Lost vs Campana","CLR-Aitchison",39.0305060945056
"250607_05","220707_13","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.2622850127064
"250607_07","220707_13","Lost","Campana","Lost vs Campana","CLR-Aitchison",51.5661801550931
"250607_08","220707_13","Lost","Campana","Lost vs Campana","CLR-Aitchison",46.6804500803035
"250607_09","220707_13","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.2460452502822
"250607_10","220707_13","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.2714460100763
"250607_01","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.7664706280063
"250607_02","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",42.251101104341
"250607_03","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",39.464901260661
"250607_04","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",37.4495151643867
