"Sample_1","Sample_2","Site_1","Site_2","Bray_Curtis","Pair"
"220609_02","220609_03","Veragua","Veragua",0.354688532107193,"Veragua vs Veragua"
"220604_01","220609_04","Veragua","Veragua",0.458608844323483,"Veragua vs Veragua"
"220604_02","220609_04","Veragua","Veragua",0.51532847335328,"Veragua vs Veragua"
"220604_03","220609_04","Veragua","Veragua",0.750100837891228,"Veragua vs Veragua"
"220604_04","220609_04","Veragua","Veragua",0.491100950425465,"Veragua vs Veragua"
"220604_05","220609_04","Veragua","Veragua",0.3943336865538,"Veragua vs Veragua"
"220604_06","220609_04","Veragua","Veragua",0.344516487754132,"Veragua vs Veragua"
"220604_07","220609_04","Veragua","Veragua",0.539298818276128,"Veragua vs Veragua"
"220606_02","220609_04","Veragua","Veragua",0.38325006335759,"Veragua vs Veragua"
"220606_04","220609_04","Veragua","Veragua",0.791778373547811,"Veragua vs Veragua"
"220607_01","220609_04","Veragua","Veragua",0.674296504847737,"Veragua vs Veragua"
"220607_02","220609_04","Veragua","Veragua",0.459706770390675,"Veragua vs Veragua"
"220607_03","220609_04","Veragua","Veragua",0.340527828303451,"Veragua vs Veragua"
"220607_04","220609_04","Veragua","Veragua",0.435221113883477,"Veragua vs Veragua"
"220609_01","220609_04","Veragua","Veragua",0.46386002672478,"Veragua vs Veragua"
"220609_02","220609_04","Veragua","Veragua",0.275218075858312,"Veragua vs Veragua"
"220609_03","220609_04","Veragua","Veragua",0.229760905349366,"Veragua vs Veragua"
"220604_01","220609_07","Veragua","Veragua",0.479955968715012,"Veragua vs Veragua"
"220604_02","220609_07","Veragua","Veragua",0.793037353682055,"Veragua vs Veragua"
"220604_03","220609_07","Veragua","Veragua",0.870038455863015,"Veragua vs Veragua"
"220604_04","220609_07","Veragua","Veragua",0.806756534074164,"Veragua vs Veragua"
"220604_05","220609_07","Veragua","Veragua",0.765347469199809,"Veragua vs Veragua"
"220604_06","220609_07","Veragua","Veragua",0.623677859148618,"Veragua vs Veragua"
"220604_07","220609_07","Veragua","Veragua",0.348649901975694,"Veragua vs Veragua"
"220606_02","220609_07","Veragua","Veragua",0.576858888994492,"Veragua vs Veragua"
"220606_04","220609_07","Veragua","Veragua",0.848508981506061,"Veragua vs Veragua"
"220607_01","220609_07","Veragua","Veragua",0.676863664532213,"Veragua vs Veragua"
"220607_02","220609_07","Veragua","Veragua",0.766268113706983,"Veragua vs Veragua"
"220607_03","220609_07","Veragua","Veragua",0.59163767012889,"Veragua vs Veragua"
"220607_04","220609_07","Veragua","Veragua",0.61095788450826,"Veragua vs Veragua"
"220609_01","220609_07","Veragua","Veragua",0.828054706533237,"Veragua vs Veragua"
"220609_02","220609_07","Veragua","Veragua",0.515725650165391,"Veragua vs Veragua"
"220609_03","220609_07","Veragua","Veragua",0.565379432089486,"Veragua vs Veragua"
"220609_04","220609_07","Veragua","Veragua",0.556422095363839,"Veragua vs Veragua"
"220604_01","220707_11","Veragua","Altos de Campana",0.619672800763282,"Veragua vs Altos de Campana"
"220604_02","220707_11","Veragua","Altos de Campana",0.625580434030919,"Veragua vs Altos de Campana"
"220604_03","220707_11","Veragua","Altos de Campana",0.79540077718136,"Veragua vs Altos de Campana"
"220604_04","220707_11","Veragua","Altos de Campana",0.552129830604263,"Veragua vs Altos de Campana"
