"Community","Metric","Permutation","R2","pseudo_F"
"Anti-Bd genera","CLR-Aitchison",15,0.0813098190321203,3.98278106400414
"Anti-Bd genera","CLR-Aitchison",16,0.0270309654507097,1.25018721263355
"Anti-Bd genera","CLR-Aitchison",17,0.0635610637365314,3.05438801974289
"Anti-Bd genera","CLR-Aitchison",18,0.0588746544738065,2.81509733418136
"Anti-Bd genera","CLR-Aitchison",19,0.07309111430014,3.54846112088232
"Anti-Bd genera","CLR-Aitchison",20,0.0314095911353686,1.4592665673289
"Anti-Bd genera","CLR-Aitchison",21,0.0837798000112069,4.11483069304784
"Anti-Bd genera","CLR-Aitchison",22,0.0276269484056862,1.27853469017626
"Anti-Bd genera","CLR-Aitchison",23,0.066317382684311,3.19624909519439
"Anti-Bd genera","CLR-Aitchison",24,0.060088415407047,2.87684367087371
"Anti-Bd genera","Robust Aitchison",1,0.141849219181143,7.43833718482488
"Anti-Bd genera","Robust Aitchison",2,0.141759742347336,7.43287016514183
"Anti-Bd genera","Robust Aitchison",3,0.025398385437224,1.1727123448157
"Anti-Bd genera","Robust Aitchison",4,0.0342066352471597,1.59381772778706
"Anti-Bd genera","Robust Aitchison",5,0.0222551804824696,1.0242786274289
"Anti-Bd genera","Robust Aitchison",6,0.0309288912916605,1.43622082592044
"Anti-Bd genera","Robust Aitchison",7,0.0947999386503675,4.71276728915156
"Anti-Bd genera","Robust Aitchison",8,0.0944873259810568,4.69560481166563
"Anti-Bd genera","Robust Aitchison",9,0.00510982907978155,0.231123309196518
"Anti-Bd genera","Robust Aitchison",10,0.0150151989699084,0.685984142028639
"Anti-Bd genera","Robust Aitchison",11,0.00527615831320712,0.238686471706263
"Anti-Bd genera","Robust Aitchison",12,0.0152837782071344,0.698444896204543
"Anti-Bd genera","Robust Aitchison",13,0.0164948006121784,0.754714899331542
"Anti-Bd genera","Robust Aitchison",14,0.0073866559507603,0.334873110236693
"Anti-Bd genera","Robust Aitchison",15,0.0245065655247102,1.13050012397587
"Anti-Bd genera","Robust Aitchison",16,0.0154805748544268,0.707579607529024
"Anti-Bd genera","Robust Aitchison",17,0.112167188175212,5.68521843376143
"Anti-Bd genera","Robust Aitchison",18,0.113766399177741,5.77668005167983
"Anti-Bd genera","Robust Aitchison",19,0.0173459932422552,0.794348458901589
"Anti-Bd genera","Robust Aitchison",20,0.00851937565461106,0.386666057857271
"Anti-Bd genera","Robust Aitchison",21,0.0288632915838741,1.33745137015023
"Anti-Bd genera","Robust Aitchison",22,0.0198840678088177,0.912935931361086
"Anti-Bd genera","Robust Aitchison",23,0.119086172090632,6.08331663585802
"Anti-Bd genera","Robust Aitchison",24,0.120462503707989,6.16325363013264
