"Test","Permutation","LRT","Coefficient_per_10_years"
"Anti-Bd Aitchison dispersion log-linear trend",5,0.0145797540316261,-0.0675957608248557
"Anti-Bd Aitchison dispersion log-linear trend",6,0.0354850513239934,-0.113305316781368
"Anti-Bd Aitchison dispersion log-linear trend",7,0.0319741862150342,0.0971658418394925
"Anti-Bd Aitchison dispersion log-linear trend",8,0.0541930950878618,0.135293328273965
"Anti-Bd Aitchison dispersion log-linear trend",9,0.0340851926360415,0.101298025276911
"Anti-Bd Aitchison dispersion log-linear trend",10,0.0552504731617531,0.136679560818592
"Anti-Bd Aitchison dispersion log-linear trend",11,0.0212545609050215,0.0798119848986708
"Anti-Bd Aitchison dispersion log-linear trend",12,0.020285716499583,0.0772596700097845
"Anti-Bd Aitchison dispersion log-linear trend",13,0.00903513163775286,-0.0524774314846376
"Anti-Bd Aitchison dispersion log-linear trend",14,0.0136785209481318,-0.0690240402742525
"Anti-Bd Aitchison dispersion log-linear trend",15,0.0461875675472116,-0.129036181720853
"Anti-Bd Aitchison dispersion log-linear trend",16,0.0295195034826514,-0.101723544160532
"Anti-Bd Aitchison dispersion log-linear trend",17,0.0395297747287423,-0.118914257098022
"Anti-Bd Aitchison dispersion log-linear trend",18,0.0173457930341259,-0.0726755098413793
"Anti-Bd Aitchison dispersion log-linear trend",19,0.0259712044221526,0.0973105330700989
"Anti-Bd Aitchison dispersion log-linear trend",20,0.0104016502535357,0.0614030722942073
"Anti-Bd Aitchison dispersion log-linear trend",21,0.00244258822292032,0.0301111892763649
"Anti-Bd Aitchison dispersion log-linear trend",22,0.00217773306656715,0.0281446405089112
"Anti-Bd Aitchison dispersion log-linear trend",23,0.0115769212849892,0.0654745435054592
"Anti-Bd Aitchison dispersion log-linear trend",24,0.0267205492511979,0.0987588540324078
"Robust Aitchison dispersion log-linear trend",1,0.0159014562268364,-0.0933000342906312
"Robust Aitchison dispersion log-linear trend",2,0.00405802120926421,-0.0456475562182749
"Robust Aitchison dispersion log-linear trend",3,0.0460874485262514,0.184372096864088
"Robust Aitchison dispersion log-linear trend",4,0.0340383676947912,0.154495839399706
"Robust Aitchison dispersion log-linear trend",5,0.000463481971164914,0.0199659277340706
"Robust Aitchison dispersion log-linear trend",6,0.00695865861300857,-0.0791011118124205
"Robust Aitchison dispersion log-linear trend",7,2.05000785643977e-05,0.00371574349833341
"Robust Aitchison dispersion log-linear trend",8,0.00529075022761199,0.0607771334397675
"Robust Aitchison dispersion log-linear trend",9,0.000293284442528845,0.013543120561495
"Robust Aitchison dispersion log-linear trend",10,0.00636310576027339,0.0643244936598679
"Robust Aitchison dispersion log-linear trend",11,0.03886135791275,-0.189474701661373
"Robust Aitchison dispersion log-linear trend",12,0.0408227940121723,-0.194980394093068
"Robust Aitchison dispersion log-linear trend",13,0.0467693993174985,0.192509686768981
"Robust Aitchison dispersion log-linear trend",14,0.0342132874327434,0.160403661976224
"Robust Aitchison dispersion log-linear trend",15,0.0140886313067418,-0.0873339316827671
"Robust Aitchison dispersion log-linear trend",16,0.00361051845966874,-0.042955397068476
"Robust Aitchison dispersion log-linear trend",17,0.0055134377957396,-0.0699166972029967
"Robust Aitchison dispersion log-linear trend",18,0.000673116654900587,0.0239885668152631
"Robust Aitchison dispersion log-linear trend",19,0.0172725283201102,0.114867751856025
"Robust Aitchison dispersion log-linear trend",20,0.00107420579506763,0.0274147603750635
"Robust Aitchison dispersion log-linear trend",21,0.0369614452941694,-0.145577122617218
"Robust Aitchison dispersion log-linear trend",22,0.0384613821195543,-0.148980322175077
"Robust Aitchison dispersion log-linear trend",23,0.00198563956841717,0.035892404304818
"Robust Aitchison dispersion log-linear trend",24,0.0186688907163381,0.115070206715844
