"Sample_ID","CAP1","MDS1","Site","Bd_arrival_year","Community"
"220607_03",0.113784448203859,-0.0965369344672497,"Veragua",1992.98681788945,"Anti-Bd community"
"220607_04",-0.108613561757145,-0.351486291233649,"Veragua",1992.98681788945,"Anti-Bd community"
"220609_01",0.211976021986723,0.192237395713905,"Veragua",1992.98681788945,"Anti-Bd community"
"220609_02",-0.0414094332164743,0.538475578948316,"Veragua",1992.98681788945,"Anti-Bd community"
"220609_03",-0.0210874472126827,0.0511148943795485,"Veragua",1992.98681788945,"Anti-Bd community"
"220609_04",0.041957343232678,0.0506936275475982,"Veragua",1992.98681788945,"Anti-Bd community"
"220609_07",0.19186851244515,-0.626262780125574,"Veragua",1992.98681788945,"Anti-Bd community"
"220707_11",0.155072070674911,-0.394303523790606,"Altos de Campana",2007.90134868096,"Anti-Bd community"
"220707_12",0.375438329887597,0.141860602187999,"Altos de Campana",2007.90134868096,"Anti-Bd community"
"220707_13",0.475627562701196,0.436566965324194,"Altos de Campana",2007.90134868096,"Anti-Bd community"
"220707_14",0.211210986300361,0.114688742290492,"Altos de Campana",2007.90134868096,"Anti-Bd community"
"220707_15",0.651702021759421,0.224777877305715,"Altos de Campana",2007.90134868096,"Anti-Bd community"
"220707_16",0.278947780268534,-0.155487935656653,"Altos de Campana",2007.90134868096,"Anti-Bd community"
"220707_17",-0.113429718358062,0.846580353835288,"Altos de Campana",2007.90134868096,"Anti-Bd community"
"220707_18",-0.0863669215063873,0.166578908428799,"Altos de Campana",2007.90134868096,"Anti-Bd community"
"220707_19",0.28962081858134,-0.126141742122715,"Altos de Campana",2007.90134868096,"Anti-Bd community"
"220707_20",0.671778747765973,-0.327784758602384,"Altos de Campana",2007.90134868096,"Anti-Bd community"
"220708_01",0.0603043634743878,-0.219588767059392,"Soberanía",2009.53790614257,"Anti-Bd community"
"220708_02",0.164876945788493,-0.379707521515848,"Soberanía",2009.53790614257,"Anti-Bd community"
"220708_03",0.557992290976677,-0.214978510963573,"Soberanía",2009.53790614257,"Anti-Bd community"
"220708_04",-0.0399391645086849,-0.292612185965956,"Soberanía",2009.53790614257,"Anti-Bd community"
"220708_05",0.1936842005568,-0.399631497297804,"Soberanía",2009.53790614257,"Anti-Bd community"
"220708_06",0.0149277384019236,-0.400162761942894,"Soberanía",2009.53790614257,"Anti-Bd community"
"220708_07",0.456725007623011,-0.199874070042859,"Soberanía",2009.53790614257,"Anti-Bd community"
"220708_08",0.166769115481252,-0.118703153680063,"Soberanía",2009.53790614257,"Anti-Bd community"
"220708_09",0.738528445551089,0.232673111133925,"Soberanía",2009.53790614257,"Anti-Bd community"
"220708_10",0.522990840033265,1.23721974540746,"Soberanía",2009.53790614257,"Anti-Bd community"
"250607_01",-0.922988558260247,0.62006239856172,"Lost Iguana",1985.79445662542,"Anti-Bd community"
"250607_02",-0.0759597299277859,-0.17006167796777,"Lost Iguana",1985.79445662542,"Anti-Bd community"
"250607_03",-0.95417195636627,0.239689109785289,"Lost Iguana",1985.79445662542,"Anti-Bd community"
"250607_04",0.0231343781984796,-0.726579875517666,"Lost Iguana",1985.79445662542,"Anti-Bd community"
"250607_05",-0.377585587126781,-0.019135408756761,"Lost Iguana",1985.79445662542,"Anti-Bd community"
"250607_07",-0.320924441332267,-0.510035371199122,"Lost Iguana",1985.79445662542,"Anti-Bd community"
"250607_08",-0.880110414088057,-0.207376557680676,"Lost Iguana",1985.79445662542,"Anti-Bd community"
"250607_09",-0.630793685054485,-0.180719196221961,"Lost Iguana",1985.79445662542,"Anti-Bd community"
"250607_10",-0.808991357053437,1.13888740001436,"Lost Iguana",1985.79445662542,"Anti-Bd community"
