"taxon","lfc_(Intercept)","lfc_SiteVeragua","lfc_SiteAltos de Campana","lfc_SiteSoberanía","se_(Intercept)","se_SiteVeragua","se_SiteAltos de Campana","se_SiteSoberanía","W_(Intercept)","W_SiteVeragua","W_SiteAltos de Campana","W_SiteSoberanía","p_(Intercept)","p_SiteVeragua","p_SiteAltos de Campana","p_SiteSoberanía","q_(Intercept)","q_SiteVeragua","q_SiteAltos de Campana","q_SiteSoberanía","diff_(Intercept)","diff_SiteVeragua","diff_SiteAltos de Campana","diff_SiteSoberanía","passed_ss_(Intercept)","passed_ss_SiteVeragua","passed_ss_SiteAltos de Campana","passed_ss_SiteSoberanía","diff_robust_(Intercept)","diff_robust_SiteVeragua","diff_robust_SiteAltos de Campana","diff_robust_SiteSoberanía"
"Byssovorax",-1.60669874964256,1.38876477412139,2.0184119569959,1.31186106535864,0.439572122350651,0.611229560197318,0.840545895014665,0.697751003798869,-3.65514250778824,2.27208378742852,2.40131082546145,1.88012780808093,0.00147731796784511,0.0337122830072142,0.0256767738934684,0.0740352794256924,0.00899820944051113,0.12299448748726,0.0831897743673242,0.254377626744687,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Aureimonas",-1.38819542048639,1.33134571352411,1.21438979134593,1.87219820760685,0.43690896192389,0.630910065643572,0.588470376908885,0.716277518626659,-3.17731047304133,2.11019887940136,2.06363793148752,2.6137888722188,0.00295016966627824,0.0414810171847676,0.0459305481297965,0.0127627727128494,0.0127523462993963,0.138961407568972,0.118359489411399,0.0900111338695694,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Bradyrhizobium",-0.704705060571193,-0.15434728474616,1.01928398043516,0.531624214979327,0.408335858211494,0.567912803162488,0.623929169656556,0.636701213272819,-1.72579764034878,-0.271779899813244,1.63365335362703,0.83496654929654,0.096251446096918,0.787937741130136,0.114384419014145,0.41134353041047,0.208027318983662,0.879863810928652,0.23223503254387,0.641843014210081,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Mycoplasma",1.77399245985952,-2.06837613334181,-3.33419502000198,-1.89498884500168,0.495069850028289,0.67100134885781,0.709714147772258,0.791941619618569,3.58331750511197,-3.08252157296351,-4.69794075610268,-2.39283906547857,0.00175136238876592,0.00564569405493563,0.000122665373573088,0.0261437778746008,0.00938730240378535,0.0504348668907583,0.00328743201175877,0.120802283972293,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Halomonas",0.144500072222356,0.472513634881925,-2.00020292201062,-0.654136127311738,0.335271907802226,0.530259040930542,0.559078711010053,0.627487190315744,0.430993676653622,0.891099629442847,-3.5776767789941,-1.04246929245294,0.66904276833918,0.378792901603147,0.00101266924016881,0.304144531362282,0.793378150065931,0.568479624243995,0.00848110488641379,0.558292701404737,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Curtobacterium",-1.30465977785465,1.6246873341542,0.0780359261325591,0.759745212582297,0.44318420541516,0.632904297975501,0.68446726654359,0.696917009454518,-2.94383184669789,2.56703476236638,0.114009726902827,1.09015162820743,0.00802724816769081,0.0183900455958171,0.910366831868149,0.288607198825187,0.0290716555262316,0.0895515688247804,0.944969183031224,0.548398534924406,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Unclassified_Beijerinckiaceae",-1.51869631700539,1.59866467118799,1.46887274412105,1.70574753727169,0.464303491530099,0.640753778974713,0.611297491027116,0.692515919490551,-3.27091297978521,2.49497501793287,2.40287710269024,2.46311671582442,0.0023667236604432,0.0173209637635858,0.0215457467264735,0.0186883445458957,0.0121977296345919,0.0892695824738654,0.074028975931986,0.104343257047917,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Mycobacterium",-1.68162846208924,1.17157391276094,2.03586441121009,2.14497588786481,0.382322876507411,0.529176072822699,0.563481189371406,0.597890628381569,-4.3984510617079,2.21395859134674,3.61301219918487,3.58757235193843,9.28168303862297e-05,0.0332526793463621,0.00091665781748627,0.000984845571936392,0.000888389662268198,0.12299448748726,0.00818880983621068,0.0164961633299346,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"Unclassified_Rhizobiaceae",-0.824172809530947,0.530418552106062,0.0942631302984377,1.72551746614009,0.453700348886702,0.609877239530234,0.669281471568352,0.717868065073702,-1.81655758377378,0.869713636984755,0.140842282810471,2.40366935108464,0.0776187764531072,0.390219021907572,0.888779685968776,0.0215057256459455,0.173348600745273,0.568479624243995,0.944969183031224,0.110837201406027,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Unclassified_67-14",-1.86339330201189,2.29442791238041,2.3284132194139,1.86306886714022,0.402078640867097,0.55037769578065,0.595156754899897,0.724055165583923,-4.63440012131313,4.1688243000582,3.91226882706814,2.57310348119362,4.56574726495519e-05,0.000183658854276409,0.000389143894382827,0.0143459543787274,0.000556191030458178,0.00492205729460775,0.00557776524241,0.0915408517499751,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
