"kw.ep","kw.eBH","glm.ep","glm.eBH","taxon"
0.00249774359128622,0.0144808152098823,0.0100969006238181,0.0382552798563435,"Bryobacter"
0.262964822446383,0.405970308824957,0.34479587482734,0.484219562284978,"Pedobacter"
0.645656983730018,0.72792391920564,0.556753675408093,0.661173008630477,"Unclassified_Lachnospiraceae"
0.0116607527126065,0.0445179484364196,0.00691023405157508,0.0288033760869427,"Candidatus Solibacter"
0.0688850849336546,0.164916444926676,0.114279020106694,0.22552032226309,"Rhodopseudomonas"
0.41104778396626,0.539065481157907,0.417864365076309,0.544089541643063,"MN 122.2a"
0.201672370440615,0.336748528791782,0.222352188543211,0.35267992093668,"Unclassified_Solimonadaceae"
0.33369132272545,0.456060352377416,0.346845318684213,0.469597558822824,"Duganella"
0.288948270863267,0.41910569250636,0.292749422008255,0.426303180005668,"Xylophilus"
0.729650708811572,0.80408313629552,0.718697714507976,0.798537717682913,"Ellin6055"
0.687614258122156,0.774940144359589,0.659747626398425,0.758328526138941,"Spirosoma"
0.325403526129895,0.454487770036936,0.409269863985069,0.534982718720818,"Unclassified_Chthoniobacteraceae"
0.00233597564863419,0.0132363111567367,0.00560433966015251,0.0214333720613933,"Acuticoccus"
0.908210195228796,0.932239429782198,0.811894579344917,0.86591498876682,"Aurantisolimonas"
0.0195113541293276,0.0576211058116928,0.0211370685090208,0.0569137968968045,"Cellvibrio"
0.000295351998639916,0.00334436623113794,0.000299213332105924,0.00146736305865363,"Cutibacterium"
0.0322884196910072,0.093451663003826,0.0258149913411331,0.0751510417769375,"Acidothermus"
0.756081004246178,0.82467223944586,0.642014623281457,0.74207143074786,"Legionella"
0.553894773332462,0.655265003257098,0.540284321634797,0.643273523285782,"Schumannella"
0.508175533336648,0.616142148870525,0.478906681913411,0.599697126777294,"Asticcacaulis"
0.00149348959540063,0.0101664489444064,0.00461808755972205,0.0194487878988193,"Unclassified_Micromonosporaceae"
0.66251821171142,0.744328221971352,0.572316939270409,0.670655641649543,"Pseudactinotalea"
0.266361996491891,0.411982028160385,0.29597100832319,0.432362995459245,"Paenibacillus"
0.125085421636703,0.247116282619046,0.112531560442353,0.219549554205243,"Flavisolibacter"
0.54158208677016,0.646218726693965,0.448699133897325,0.568863083398895,"Abiotrophia"
0.0628520916370539,0.156379673395646,0.166624704714383,0.301836585849698,"Candidatus Alysiosphaera"
0.19673737017761,0.317757340046414,0.190132437474549,0.301238209668055,"Pedococcus-Phycicoccus"
0.147665844260083,0.25456504562337,0.137649273687113,0.241979701029328,"Brucella"
0.174977448152998,0.296986551289221,0.277047500866453,0.398274296492775,"Angustibacter"
0.0518258205783864,0.134133083055669,0.0910769486019435,0.188008746805884,"Fimbriiglobus"
0.158193593126136,0.260051208865478,0.14088824004002,0.235717594216302,"Acidicaldus"
0.00244007473318321,0.013467730360124,0.0065896213463549,0.0240559482201507,"Unclassified_Polyangiaceae"
0.650862486718994,0.737471793291663,0.618797107605103,0.717309501078288,"Piscinibacter"
0.0389119424595252,0.108063725293566,0.102895094590637,0.204982928358533,"Aeromicrobium"
0.371220930968257,0.50886023944363,0.372686781761063,0.505455268859401,"Unclassified_JG30-KF-CM45"
0.216396004728211,0.347080586285597,0.232390335913927,0.3650755886253,"Bryocella"
0.17988235186344,0.310424960358837,0.183071093477431,0.300049742762056,"Rubellimicrobium"
0.0596459175873204,0.148925674167382,0.162539682910651,0.302552238953263,"Gemmata"
0.189492234621495,0.315417064984728,0.222390782513844,0.346412315501806,"Luteolibacter"
0.0983614340161058,0.197882501905073,0.129091202445067,0.228433256598173,"Phenylobacterium"
0.0134374606201985,0.0439953454084586,0.0161827301684497,0.0445893149772712,"Prevotella_7"
0.0151072339745601,0.0473357034419824,0.0142114609404031,0.0379232007406426,"Calditerricola"
