"Genus","220604_01","220604_02","220604_03","220604_04","220604_05","220604_06","220604_07","220606_02","220606_04","220607_01","220607_02","220607_03","220607_04","220609_01","220609_02","220609_03","220609_04","220609_07","220707_11","220707_12","220707_13","220707_14","220707_15","220707_16","220707_17","220707_18","220707_19","220707_20","220708_01","220708_02","220708_03","220708_04","220708_05","220708_06","220708_07","220708_08","220708_09","220708_10","250607_01","250607_02","250607_03","250607_04","250607_05","250607_07","250607_08","250607_09","250607_10"
"Loriellopsis LF-B5",72,0,0,0,0,24,0,146,0,0,0,104,30,0,0,0,0,49,384,154,325,257,233,90,91,364,2468,2372,28,18,0,43,0,29,360,174,3530,0,0,136,0,0,69,2539,206,63,0
"Streptomyces",0,0,0,0,0,183,2194,0,262,0,0,53,0,0,29,142,85,270,79,0,119,52,0,12,0,0,66,144,53,11,0,18,0,105,1034,58,133,239,11,24,0,0,0,321,0,0,0
"Parafilimonas",0,0,0,0,0,0,1173,27,0,16,0,622,52,0,0,0,0,0,90,297,192,84,4,456,465,880,49,256,73,0,6,0,2,38,91,64,52,4,11,52,271,0,0,784,32,0,0
"Aridibacter",0,0,0,0,0,0,866,38,0,0,0,425,60,0,0,0,90,0,48,342,129,126,8,293,327,500,0,345,151,5,9,0,0,46,111,103,173,23,0,0,334,0,0,0,107,80,26
"Devosia",0,40,207,79,38,0,203,30,9,0,0,266,80,0,368,22,36,5221,70,35,79,101,55,58,21,69,47,72,101,0,104,34,90,120,251,150,310,332,0,19,23,0,0,206,47,0,6
"Bacillus",19,28,16,77,235,42,161,85,0,8,97,905,27,63,0,166,63,569,0,10,0,0,0,0,9,0,15,15,0,0,21,7,69,24,287,13,15,0,0,0,331,0,131,80,51,55,11
"Quadrisphaera",55,0,29,0,20,0,152,0,0,0,0,0,0,0,898,273,0,1733,12,0,19,6,0,0,0,0,0,36,37,29,35,59,0,0,50,8,12,10,0,0,0,0,0,24,0,0,0
"Brachybacterium",0,13,23,11,0,0,549,0,0,0,0,0,0,30,28,0,0,334,0,0,0,0,17,0,0,0,0,0,133,26,7,20,286,0,17,154,0,6,87,73,98,13,30,575,322,68,65
"Actinoplanes",0,0,0,92,45,57,692,279,0,46,85,342,0,0,0,248,16,1120,720,195,1042,296,456,334,293,824,80,492,82,27,65,0,0,0,389,598,519,0,0,10,0,0,0,33,79,0,0
"Flavobacterium",0,0,81,59,84,22,72,0,0,0,0,14,14,12,0,333,8,28,0,42,0,3,0,7,62,5,0,11,7,0,19,38,0,30,40,95,211,3276,51,60,39,0,0,1109,11,0,5
"Rothia",0,0,0,0,26,0,226,11,0,510,0,0,41,0,25,0,0,0,32,0,6,0,790,0,40,99,931,0,0,23,0,64,336,16,0,0,0,0,12,12,23,0,0,57,0,0,0
"Tumebacillus",32,46,0,198,154,151,179,44,9,0,84,32,7,226,126,89,68,112,33,0,2,0,3,0,5,25,3,0,13,4,0,130,0,67,0,0,0,0,21,18,27,0,16,7,26,25,9
