"Genus_full","Sample_ID","Row_scaled_rCLR","Genus"
"Paracoccus","250607_01",1.09477254379711,"Paracoccus"
"Acinetobacter","250607_01",1.31753775583428,"Acinetobacter"
"Chryseobacterium","250607_01",1.39754382317471,"Chryseobacterium"
"Pseudomonas","250607_01",1.49513162821645,"Pseudomonas"
"Unclassified_Bacteria","250607_02",-0.23384900005316,"Uncl. Bacteria"
"Methylobacterium-Methylorubrum","250607_02",-0.861629374164156,"Methylobacterium-Methylorubrum"
"Actinomycetospora","250607_02",-1.37889269325006,"Actinomycetospora"
"1174-901-12","250607_02",-1.24272877943712,"1174-901-12"
"Marmoricola","250607_02",-1.28599437981915,"Marmoricola"
"Unclassified_Caulobacteraceae","250607_02",-0.933848578310217,"Uncl. Caulobacteraceae"
"Mycobacterium","250607_02",-0.735517957558993,"Mycobacterium"
"Unclassified_Acetobacteraceae","250607_02",-1.23159016557258,"Uncl. Acetobacteraceae"
"Jatrophihabitans","250607_02",-1.10744202035452,"Jatrophihabitans"
"Methylocella","250607_02",-1.13251281883326,"Methylocella"
"Conexibacter","250607_02",-1.08397478204383,"Conexibacter"
"Actinoplanes","250607_02",-1.06483432381492,"Actinoplanes"
"Pseudonocardia","250607_02",-1.22376448896748,"Pseudonocardia"
"Unclassified_67-14","250607_02",-1.46538174870162,"Uncl. 67-14"
"Corynebacterium","250607_02",-0.653164771866808,"Corynebacterium"
"Caldalkalibacillus","250607_02",0.283735245236986,"Caldalkalibacillus"
"Nesterenkonia","250607_02",0.324601763766392,"Nesterenkonia"
"Unclassified_Bacillaceae","250607_02",-0.0484730380973378,"Uncl. Bacillaceae"
"Unclassified_Caloramatoraceae","250607_02",0.00404964998610622,"Uncl. Caloramatoraceae"
"Anoxybacillus","250607_02",0.351601414997952,"Anoxybacillus"
"Clostridium sensu stricto 12","250607_02",0.137209272945445,"Clostridium sensu stricto 12"
"Halomonas","250607_02",0.194665098775311,"Halomonas"
"Staphylococcus","250607_02",1.16043202232985,"Staphylococcus"
"Mycoplasma","250607_02",0.957360020492203,"Mycoplasma"
"Tumebacillus","250607_02",-0.410613479724741,"Tumebacillus"
"Bacillus","250607_02",-0.266834514764874,"Bacillus"
"Paracoccus","250607_02",1.10279762460572,"Paracoccus"
"Acinetobacter","250607_02",1.58960634290207,"Acinetobacter"
