"taxon","structural_zero (Site = Lost Iguana)","structural_zero (Site = Veragua)","structural_zero (Site = Altos de Campana)","structural_zero (Site = Soberanía)"
"Candidatus Xiphinematobacter",TRUE,FALSE,FALSE,FALSE
"Unclassified_Myxococcaceae",TRUE,FALSE,FALSE,FALSE
"Steroidobacter",FALSE,TRUE,FALSE,FALSE
"Leptolyngbya ANT.L52.2",TRUE,TRUE,TRUE,FALSE
"SH-PL14",FALSE,TRUE,FALSE,FALSE
"Aquisphaera",TRUE,FALSE,FALSE,TRUE
"Tepidisphaera",TRUE,FALSE,FALSE,TRUE
"Ilumatobacter",TRUE,FALSE,TRUE,FALSE
"Terrimonas",FALSE,FALSE,FALSE,TRUE
"Peredibacter",TRUE,FALSE,FALSE,FALSE
"Asanoa",TRUE,FALSE,FALSE,FALSE
"Nordella",TRUE,TRUE,FALSE,FALSE
"Nevskia",TRUE,TRUE,FALSE,TRUE
"SM1A02",TRUE,TRUE,FALSE,TRUE
"Unclassified_Methyloligellaceae",FALSE,TRUE,FALSE,FALSE
"Ferruginibacter",FALSE,FALSE,FALSE,FALSE
"Unclassified_WD2101 soil group",FALSE,FALSE,FALSE,FALSE
"Unclassified_Sporichthyaceae",TRUE,FALSE,FALSE,FALSE
"Segetibacter",TRUE,TRUE,FALSE,FALSE
"Gemmatimonas",TRUE,FALSE,FALSE,FALSE
"Unclassified_TRA3-20",TRUE,FALSE,TRUE,TRUE
"Unclassified_Spirosomaceae",TRUE,TRUE,FALSE,TRUE
"Unclassified_Micavibrionaceae",TRUE,TRUE,FALSE,FALSE
"Unclassified_D05-2",TRUE,TRUE,FALSE,FALSE
"Unclassified_Microtrichaceae",TRUE,TRUE,FALSE,FALSE
"Lysobacter",TRUE,FALSE,TRUE,TRUE
"Unclassified_Vicinamibacteraceae",FALSE,FALSE,FALSE,FALSE
"Unclassified_Pedosphaeraceae",TRUE,FALSE,FALSE,FALSE
"Amycolatopsis",TRUE,TRUE,FALSE,FALSE
"Unclassified_AB1",TRUE,TRUE,FALSE,FALSE
"SWB02",TRUE,FALSE,FALSE,FALSE
"Nannocystis",FALSE,TRUE,FALSE,FALSE
"Opitutus",TRUE,FALSE,FALSE,FALSE
"Pirellula",TRUE,FALSE,FALSE,FALSE
"Anaeromyxobacter",TRUE,FALSE,TRUE,FALSE
"Tundrisphaera",TRUE,FALSE,FALSE,FALSE
"Unclassified_Parachlamydiaceae",TRUE,FALSE,FALSE,TRUE
"Unclassified_Ardenticatenaceae",FALSE,TRUE,TRUE,FALSE
"Chthonomonas",TRUE,FALSE,FALSE,TRUE
"Unclassified_A4b",TRUE,FALSE,FALSE,FALSE
"Unclassified_Saprospiraceae",TRUE,TRUE,FALSE,FALSE
"Unclassified_Tepidisphaeraceae",TRUE,TRUE,FALSE,TRUE
"Coxiella",TRUE,TRUE,FALSE,TRUE
"Unclassified_Pirellulaceae",FALSE,FALSE,FALSE,FALSE
"Pir4 lineage",TRUE,FALSE,FALSE,FALSE
"JGI 0001001-H03",TRUE,TRUE,TRUE,FALSE
"Aquicella",TRUE,TRUE,FALSE,FALSE
"Unclassified_Oligoflexaceae",TRUE,TRUE,FALSE,FALSE
"Unclassified_Verrucomicrobiaceae",TRUE,FALSE,FALSE,FALSE
"Unclassified_AKYH767",TRUE,FALSE,FALSE,TRUE
"Unclassified_NS9 marine group",TRUE,TRUE,FALSE,FALSE
"Unclassified_KD3-93",TRUE,TRUE,FALSE,TRUE
"Prosthecobacter",TRUE,TRUE,FALSE,FALSE
"Unclassified_Diplorickettsiaceae",TRUE,TRUE,FALSE,FALSE
"Unclassified_LWQ8",TRUE,FALSE,FALSE,FALSE
"Candidatus Protochlamydia",TRUE,TRUE,FALSE,TRUE
