"Genus","Sample_ID","Row_scaled_rCLR","Genus_full"
"Staphylococcus","220604_03",-2.07191590088049,"Staphylococcus"
"Micrococcus","220604_03",-2.85086731192454,"Micrococcus"
"Pseudomonas","220604_03",2.07365515232265,"Pseudomonas"
"Stenotrophomonas","220604_03",2.79243325397055,"Stenotrophomonas"
"Bosea","220604_03",0.683630239387856,"Bosea"
"Curtobacterium","220604_03",3.64635400963174,"Curtobacterium"
"Chryseobacterium","220604_03",3.29871203508835,"Chryseobacterium"
"Novosphingobium","220604_03",1.7479742228303,"Novosphingobium"
"Brevundimonas","220604_03",1.54335210896566,"Brevundimonas"
"Uncl. Bacillaceae","220604_03",-2.27171403097992,"Unclassified_Bacillaceae"
"Burkholderia complex","220604_03",-1.05722399042804,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220604_03",2.75045460870598,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220606_04",-1.72209908876245,"Acinetobacter"
"Staphylococcus","220606_04",-1.04874130624155,"Staphylococcus"
"Micrococcus","220606_04",1.53831766441369,"Micrococcus"
"Pseudomonas","220606_04",-1.05403541436354,"Pseudomonas"
"Stenotrophomonas","220606_04",-0.682745500458545,"Stenotrophomonas"
"Bosea","220606_04",-0.125813694175536,"Bosea"
"Curtobacterium","220606_04",-0.468919713129444,"Curtobacterium"
"Chryseobacterium","220606_04",-0.217888996403904,"Chryseobacterium"
"Novosphingobium","220606_04",0.2991365079561,"Novosphingobium"
"Brevundimonas","220606_04",0.99186883734847,"Brevundimonas"
"Uncl. Bacillaceae","220606_04",-0.977273001437471,"Unclassified_Bacillaceae"
"Burkholderia complex","220606_04",-0.287073269508632,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220606_04",0.21920673351574,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220607_01",-1.47340623781894,"Acinetobacter"
"Staphylococcus","220607_01",-0.800685587982586,"Staphylococcus"
"Micrococcus","220607_01",1.89341771037148,"Micrococcus"
"Pseudomonas","220607_01",-0.752914989911624,"Pseudomonas"
"Stenotrophomonas","220607_01",-0.481304848227932,"Stenotrophomonas"
"Bosea","220607_01",-0.67926334551536,"Bosea"
"Curtobacterium","220607_01",-0.754862424350629,"Curtobacterium"
"Chryseobacterium","220607_01",-0.610946607890055,"Chryseobacterium"
"Novosphingobium","220607_01",0.617654198579234,"Novosphingobium"
"Brevundimonas","220607_01",1.18434976793907,"Brevundimonas"
"Uncl. Bacillaceae","220607_01",-0.878588602398646,"Unclassified_Bacillaceae"
"Burkholderia complex","220607_01",-0.704166365375799,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220607_01",-0.215630800501988,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220604_01",0.819039162218829,"Acinetobacter"
"Staphylococcus","220604_01",1.19253662988157,"Staphylococcus"
"Micrococcus","220604_01",0.148591482004632,"Micrococcus"
"Pseudomonas","220604_01",0.17142063396424,"Pseudomonas"
"Stenotrophomonas","220604_01",-0.253647425671053,"Stenotrophomonas"
"Bosea","220604_01",-0.419239764035173,"Bosea"
"Curtobacterium","220604_01",-0.850172916243132,"Curtobacterium"
"Chryseobacterium","220604_01",-0.947907226526204,"Chryseobacterium"
"Novosphingobium","220604_01",-0.41692762757684,"Novosphingobium"
"Brevundimonas","220604_01",-0.783791983116012,"Brevundimonas"
"Uncl. Bacillaceae","220604_01",1.1239977297662,"Unclassified_Bacillaceae"
"Burkholderia complex","220604_01",0.18033282286348,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220604_01",-1.0518212767322,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220604_07",0.660132543645387,"Acinetobacter"
"Staphylococcus","220604_07",1.28617825615809,"Staphylococcus"
"Micrococcus","220604_07",1.01429902972312,"Micrococcus"
"Pseudomonas","220604_07",0.190232972509092,"Pseudomonas"
"Stenotrophomonas","220604_07",-0.280927756832906,"Stenotrophomonas"
"Bosea","220604_07",-1.09776689563434,"Bosea"
"Curtobacterium","220604_07",-1.40456531996763,"Curtobacterium"
"Chryseobacterium","220604_07",-1.5515354903874,"Chryseobacterium"
"Novosphingobium","220604_07",-0.0405732456129175,"Novosphingobium"
"Brevundimonas","220604_07",-0.375826716116162,"Brevundimonas"
"Uncl. Bacillaceae","220604_07",1.07239839982622,"Unclassified_Bacillaceae"
"Burkholderia complex","220604_07",-0.326868405420239,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220604_07",-1.57930032956532,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220604_06",0.797436358410728,"Acinetobacter"
"Staphylococcus","220604_06",0.42870371692178,"Staphylococcus"
"Micrococcus","220604_06",0.0661210851181914,"Micrococcus"
"Pseudomonas","220604_06",0.879687230506235,"Pseudomonas"
"Stenotrophomonas","220604_06",0.706705999161725,"Stenotrophomonas"
"Bosea","220604_06",-0.847082059011574,"Bosea"
"Curtobacterium","220604_06",-0.0768808441784391,"Curtobacterium"
"Chryseobacterium","220604_06",-0.33312315390187,"Chryseobacterium"
"Novosphingobium","220604_06",0.632326337389007,"Novosphingobium"
"Brevundimonas","220604_06",0.275721212715475,"Brevundimonas"
"Uncl. Bacillaceae","220604_06",0.147289889896278,"Unclassified_Bacillaceae"
"Burkholderia complex","220604_06",-0.739993717636916,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220604_06",-0.531213774553822,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220607_04",-0.322369087249299,"Acinetobacter"
"Staphylococcus","220607_04",0.273480198963624,"Staphylococcus"
"Micrococcus","220607_04",1.61787007611733,"Micrococcus"
"Pseudomonas","220607_04",-0.106244756633697,"Pseudomonas"
"Stenotrophomonas","220607_04",-0.223505105030456,"Stenotrophomonas"
"Bosea","220607_04",-1.16286485212788,"Bosea"
"Curtobacterium","220607_04",-1.14413055669852,"Curtobacterium"
"Chryseobacterium","220607_04",-1.20170796605761,"Chryseobacterium"
"Novosphingobium","220607_04",0.515515433371444,"Novosphingobium"
"Brevundimonas","220607_04",0.586313179475053,"Brevundimonas"
"Uncl. Bacillaceae","220607_04",0.0468093188008003,"Unclassified_Bacillaceae"
"Burkholderia complex","220607_04",-0.773991200932555,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220607_04",-1.03839909816512,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220604_05",0.276295379193773,"Acinetobacter"
"Staphylococcus","220604_05",0.310604401798509,"Staphylococcus"
"Micrococcus","220604_05",1.30887501517939,"Micrococcus"
"Pseudomonas","220604_05",0.690675260602374,"Pseudomonas"
"Stenotrophomonas","220604_05",0.545463726627384,"Stenotrophomonas"
"Bosea","220604_05",-1.60508714742512,"Bosea"
"Curtobacterium","220604_05",-0.762576813264762,"Curtobacterium"
"Chryseobacterium","220604_05",-1.02183770461476,"Chryseobacterium"
"Novosphingobium","220604_05",1.10524653031052,"Novosphingobium"
"Brevundimonas","220604_05",0.923556383884705,"Brevundimonas"
"Uncl. Bacillaceae","220604_05",-0.113927180354877,"Unclassified_Bacillaceae"
"Burkholderia complex","220604_05",-1.3501787389859,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220604_05",-1.04987350834777,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220606_02",0.342502448611054,"Acinetobacter"
