"Genus","Prevalence","Prevalence_samples","Mean_relative_abundance","Retained"
"Chthoniobacter",0.680851063829787,32,0.00128035495083563,TRUE
"OM60(NOR5) clade",0.148936170212766,7,0.000141021771001901,FALSE
"Unclassified_Staphylococcaceae",0.212765957446809,10,0.000138738582669044,TRUE
"Amaricoccus",0.276595744680851,13,0.000436456083291805,TRUE
"Gemmobacter",0.127659574468085,6,0.000427405663147907,FALSE
"Unclassified_Sandaracinaceae",0.553191489361702,26,0.000765982195417839,TRUE
"Anaerosporobacter",0.127659574468085,6,0.000188661819080534,FALSE
"Edaphobaculum",0.829787234042553,39,0.00225366201737384,TRUE
"Unclassified_Roseiflexaceae",0.595744680851064,28,0.000517558489359674,TRUE
"Gloeobacter PCC-7421",0.0638297872340425,3,0.000159675802520638,FALSE
"CL500-29 marine group",0.382978723404255,18,0.000146474879616512,TRUE
"Mesorhizobium",0.531914893617021,25,0.00066794528167462,TRUE
"Acidipila-Silvibacterium",0.425531914893617,20,0.000427920753454472,TRUE
"Hansschlegelia",0.191489361702128,9,0.000263096642862185,FALSE
"Methylocystis",0.234042553191489,11,0.000137430433111968,TRUE
"Aurantimicrobium",0.0425531914893617,2,0.000145325145566191,FALSE
"Unclassified_Ktedonobacteraceae",0.297872340425532,14,0.000930128698482086,TRUE
"Tuzzerella",0.0212765957446809,1,0.000100338703006488,FALSE
"Unclassified_AKIW781",0.382978723404255,18,0.000205958509133773,TRUE
"Demequina",0.0212765957446809,1,6.06696615417773e-05,FALSE
"Tunicatimonas",0.106382978723404,5,6.46315445946974e-05,FALSE
"Beutenbergia",0.0212765957446809,1,0.000110339787222178,FALSE
"Unclassified_Pseudonocardiaceae",0.0851063829787234,4,9.81658038204507e-05,FALSE
"Myxosarcina SAG 30.84",0.0638297872340425,3,0.000227230281438796,FALSE
"Oligoflexus",0.638297872340426,30,0.000581831305883782,TRUE
"Deinococcus",0.595744680851064,28,0.00039281606830517,TRUE
"Unclassified_Pasteurellaceae",0.0638297872340425,3,0.000144704025255589,FALSE
"Thioclava",0.0212765957446809,1,8.19463831260428e-05,FALSE
"Shinella",0.212765957446809,10,0.000449219567122899,TRUE
"Abditibacterium",0.659574468085106,31,0.000560793384662663,TRUE
"Roseomonas",0.617021276595745,29,0.00066849069550394,TRUE
"Pseudolabrys",0.212765957446809,10,0.00012569211047794,TRUE
"Kushneria",0.106382978723404,5,0.000113395135516764,FALSE
"Pseudoxanthomonas",0.48936170212766,23,0.000474013071918325,TRUE
"Unclassified_Chroococcidiopsaceae",0.382978723404255,18,0.000645487353921708,TRUE
"Unclassified_Rhizobiales Incertae Sedis",0.297872340425532,14,0.00029025902306777,TRUE
"Exiguobacterium",0.127659574468085,6,0.000171602057796768,FALSE
"Dyadobacter",0.404255319148936,19,0.000299982653067709,TRUE
"Serinibacter",0.0425531914893617,2,3.13049787994047e-05,FALSE
"Robinsoniella",0.0638297872340425,3,9.91156969489473e-05,FALSE
"Unclassified_Nostocaceae",0.276595744680851,13,0.000712382232773296,TRUE
"Crossiella",0.0851063829787234,4,0.00012083797890354,FALSE
"Nubsella",0.191489361702128,9,0.000278449449387,FALSE
"Unclassified_Leptolyngbyaceae",0.191489361702128,9,0.000218231916821568,FALSE
"Plot4-2H12",0.127659574468085,6,0.000128838195040814,FALSE
"Weissella",0.127659574468085,6,0.000175042870429092,FALSE
"Unclassified_Sphingobacteriaceae",0.340425531914894,16,0.000243281198451119,TRUE
"Rhodanobacter",0.319148936170213,15,0.000309113762907138,TRUE
"Phytohabitans",0.106382978723404,5,0.000114139472330804,FALSE
"Variibacter",0.234042553191489,11,0.000147594203807262,TRUE
"Blastomonas",0.0851063829787234,4,0.000141334505578417,FALSE
"Unclassified_Microscillaceae",0.361702127659574,17,0.000319701103377605,TRUE
"Mucispirillum",0.127659574468085,6,0.000111905026442558,FALSE
"Cryptosporangium",0.148936170212766,7,0.000124194203017428,FALSE
"Rhodopila",0.48936170212766,23,0.000707833094591953,TRUE
"Aquabacterium",0.170212765957447,8,0.000147858682354152,FALSE
"Microvirga",0.51063829787234,24,0.00050454974940395,TRUE
"Marinococcus",0.127659574468085,6,0.000134946666137787,FALSE
