"Genus","Mean_relative_abundance_percent","Prevalence","Prevalence_samples","Inhibitory_ASVs","Max_identity","Max_query_coverage","Whole_ANCOMBC2_global_q","Whole_ANCOMBC2_robust_global","Whole_ALDEx2_global_q","Anti_only_ANCOMBC2_global_q","Anti_only_ANCOMBC2_robust_global","Anti_only_ALDEx2_global_q","Woodhams_function","Passes_20pct_anti_prevalence","Site_association_supported","Priority_rank"
"Arthrobacter",0.00506752200235825,0.0638297872340425,3,1,97.233,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,63
"Leifsonia",0.00499199497947933,0.0212765957446809,1,1,98.419,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,64
"Pedobacter",0.00484315130750575,0.0851063829787234,4,2,98.814,100,0.000515964495291306,FALSE,0.405970308824957,NA,NA,NA,"inhibitory",FALSE,FALSE,65
"Unclassified_Rhizobiaceae",0.00475648943011508,0.0425531914893617,2,2,97.628,100,0.00505392334894191,FALSE,0.282397636126769,NA,NA,NA,"inhibitory",FALSE,FALSE,66
"Niabella",0.00429517342874749,0.106382978723404,5,4,98.024,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,67
"Erwinia",0.00423179145305879,0.0212765957446809,1,1,100,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,68
"Terrimonas",0.0041758236373577,0.0851063829787234,4,4,100,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,69
"Lysobacter",0.00415003205774505,0.106382978723404,5,4,99.606,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,70
"Unclassified_Rhodanobacteraceae",0.00378339660920445,0.0851063829787234,4,4,97.233,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,71
"Unclassified_Micrococcaceae",0.00349546404758124,0.0425531914893617,2,1,100,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,72
"Chryseomicrobium",0.00331838033136902,0.0425531914893617,2,1,97.233,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,73
"Mucilaginibacter",0.00310665288684806,0.0638297872340425,3,1,97.233,100,0.0484638847426059,FALSE,0.417780801884001,NA,NA,NA,"inhibitory",FALSE,FALSE,74
"Unclassified_Streptomycetaceae",0.00302262319886212,0.0425531914893617,2,1,98.024,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,75
"Dyella",0.00295166536973751,0.0425531914893617,2,2,97.628,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,76
