"Genus","KSM","Bootstrap_CI_low","Bootstrap_CI_high","Top10_frequency","Top20_frequency","Prevalence","Mean_relative_abundance_percent","ANCOMBC2_W","ANCOMBC2_p","ANCOMBC2_q","ANCOMBC2_robust_FDR05","ALDEx2_p","ALDEx2_q","ALDEx2_FDR05","Evidence_class","KSM_rank"
"Novosphingobium",0.410086682427108,0.350147754137116,0.615254137115839,0.252,0.925,0.595744680851064,0.140380493714845,2.13653760845705,0.244050047944867,0.244050047944867,FALSE,0.0751302509328021,0.176804032250406,FALSE,"KSM only",11
"Luteibacter",0.404649330181245,0.301101260835303,0.620035460992908,0.18,0.789,0.425531914893617,0.0985823837948575,NA,NA,NA,FALSE,0.0745599100444067,0.171551728739011,FALSE,"KSM only",12
"Bosea",0.39558707643814,0.331826241134752,0.63538219070134,0.281,0.875,0.617021276595745,0.0887096212061199,4.57520670523908,0.0219046022826071,0.0284759829673892,TRUE,0.0108026949803914,0.0496871979533777,TRUE,"ANCOM-BC2 + ALDEx2",13
"Curtobacterium",0.390149724192277,0.339558707643814,0.630748620961387,0.296,0.876,0.51063829787234,0.110020707869042,5.97537071814512,0.00887264000783486,0.0144180400127316,FALSE,0.0247187969463387,0.0822227645137582,FALSE,"KSM only",14
"Klebsiella",0.378881008668243,0.298492907801419,0.548473207249803,0.056,0.655,0.404255319148936,0.204924591736645,NA,NA,NA,FALSE,0.0341060645615023,0.0994366759174849,FALSE,"KSM only",15
"Brevundimonas",0.372655634357762,0.335500394011032,0.595921985815603,0.133,0.835,0.74468085106383,0.145752761578584,4.22538938030857,0.0258164856077193,0.0305103920818501,TRUE,0.542929494068423,0.668129652197183,FALSE,"ANCOM-BC2 only",16
"Streptomyces",0.370764381402679,0.28789598108747,0.571587864460205,0.084,0.707,0.382978723404255,0.171447802460172,NA,NA,NA,FALSE,0.0285324652081798,0.0874330872402036,FALSE,"KSM only",17
"Sphingobacterium",0.370449172576832,0.234507486209614,0.548624901497242,0.035,0.522,0.297872340425532,0.241105547847009,NA,NA,NA,FALSE,0.150961877687163,0.273567966936973,FALSE,"KSM only",18
"Unclassified_Microbacteriaceae",0.36107171000788,0.311481481481482,0.581942474389283,0.099,0.766,0.553191489361702,0.0816817510159898,NA,NA,NA,FALSE,0.0815971091693058,0.184296324164713,FALSE,"KSM only",19
"Unclassified_Comamonadaceae",0.34468085106383,0.310151694247439,0.561386918833727,0.075,0.747,0.48936170212766,0.0876385372388315,NA,NA,NA,FALSE,0.297044914140248,0.442188433491022,FALSE,"KSM only",20
"Burkholderia-Caballeronia-Paraburkholderia",0.329078014184397,0.30542159180457,0.586473601260835,0.104,0.681,0.723404255319149,0.176191130991787,5.73968324919924,0.00631204182609572,0.0117785652536757,FALSE,0.0514644553300418,0.136641315625283,FALSE,"KSM only",21
"Chryseobacterium",0.325137903861308,0.295490543735225,0.555681639085894,0.033,0.615,0.51063829787234,0.511771027233119,14.9347023272353,4.9198404313176e-05,0.000213193085357096,FALSE,0.6344809705411,0.733136473020881,FALSE,"KSM only",22
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.293144208037825,0.291627265563436,0.55367415287628,0.048,0.562,0.808510638297872,0.173821628617366,5.58481347266168,0.00634230436736385,0.0117785652536757,FALSE,0.122594393365027,0.24370545929888,FALSE,"KSM only",23
"Paenibacillus",0.289204097714736,0.181111111111111,0.463376674546887,0.002,0.14,0.276595744680851,0.0779129757206211,NA,NA,NA,FALSE,0.588496441482455,0.688635607367573,FALSE,"KSM only",24
"Thermomonas",0.28360914105595,0.207214342001576,0.495606776989756,0.008,0.236,0.297872340425532,0.0337101321835025,NA,NA,NA,FALSE,0.239806476333434,0.379630756204689,FALSE,"KSM only",25
"Flavobacterium",0.258628841607565,0.17480890464933,0.435023640661939,0,0.075,0.25531914893617,0.0349454049763253,NA,NA,NA,FALSE,0.562587527498931,0.667799336750746,FALSE,"KSM only",26
"Serratia",0.223798266351458,0.106776989755713,0.388514578408195,0,0.012,0.170212765957447,0.0383264342657872,NA,NA,NA,FALSE,0.429872504617215,0.554098273491188,FALSE,"KSM only",27
"Duganella",0.218676122931442,0.134751773049645,0.399777383766745,0,0.028,0.212765957446809,0.0384020066541396,NA,NA,NA,FALSE,0.407140721127756,0.536467579170615,FALSE,"KSM only",28
"Unclassified_Bacteria",0.210007880220646,0.138989361702128,0.413585500394011,0,0.029,0.234042553191489,0.0902921719747912,NA,NA,NA,FALSE,0.529038914002449,0.642193399979117,FALSE,"KSM only",29
"Unclassified_Staphylococcaceae",0.196690307328605,0.0980811662726556,0.349891646966115,0,0.002,0.170212765957447,0.0134726655477081,NA,NA,NA,FALSE,0.477137724440607,0.58990309944094,FALSE,"KSM only",30
"Macrococcus",0.189046493301812,0.102409377462569,0.368459416863672,0,0.007,0.170212765957447,0.0156449696633918,NA,NA,NA,FALSE,0.489988708865681,0.60803669277895,FALSE,"KSM only",31
"Escherichia-Shigella",0.184475965327029,0.0930654058313633,0.328567769897557,0,0.001,0.148936170212766,0.0258331058593439,NA,NA,NA,FALSE,0.316088690717832,0.435097396334796,FALSE,"KSM only",32
"Pseudactinotalea",0.182978723404255,0.0691883372734437,0.339787234042553,0,0.001,0.127659574468085,0.0208150583886973,NA,NA,NA,FALSE,0.412790219995326,0.536724664184985,FALSE,"KSM only",33
"Bacillus",0.174862096138692,0.0603624901497242,0.3175768321513,0,0,0.106382978723404,0.00790988007759638,NA,NA,NA,FALSE,0.523971155353606,0.638688124458516,FALSE,"KSM only",34
"Luteimonas",0.173680063041765,0.0947911741528763,0.356737588652482,0,0,0.127659574468085,0.00740245082965134,NA,NA,NA,FALSE,0.233608785745149,0.343167269363463,FALSE,"KSM only",35
"Lactococcus",0.164539007092199,0.104964539007092,0.329481875492514,0,0.001,0.170212765957447,0.0435324014725781,NA,NA,NA,FALSE,0.352315651082479,0.474753576262487,FALSE,"KSM only",36
"Citrobacter",0.155161544523247,0.0653368794326242,0.302720646178093,0,0,0.127659574468085,0.0895411204182364,NA,NA,NA,FALSE,0.614953574275547,0.708211791670715,FALSE,"KSM only",37
"Niabella",0.147438928289992,0.0603624901497242,0.273207249802994,0,0,0.106382978723404,0.00429517342874749,NA,NA,NA,FALSE,0.346803930574956,0.463098481132052,FALSE,"KSM only",38
"Leptothrix",0.142710795902285,0.0626477541371159,0.307167060677699,0,0.001,0.106382978723404,0.00853726171217622,NA,NA,NA,FALSE,0.327208727630654,0.442217505124465,FALSE,"KSM only",39
"Rhizobacter",0.14026792750197,0.100992907801418,0.348642631993696,0,0.004,0.170212765957447,0.012652421420373,NA,NA,NA,FALSE,0.413327957004172,0.546777969585415,FALSE,"KSM only",40
"Lysinibacillus",0.139479905437352,0.0327029156816391,0.278959810874705,0,0,0.106382978723404,0.00743639312534174,NA,NA,NA,FALSE,0.390743895678365,0.507642257094462,FALSE,"KSM only",41
"Piscinibacter",0.136800630417652,0.103624901497242,0.345791962174941,0,0.004,0.191489361702128,0.0123284398218138,NA,NA,NA,FALSE,0.44780194350604,0.569864745435879,FALSE,"KSM only",42
"Aquabacterium",0.120961386918834,0.0980634357762017,0.332797478329393,0,0.003,0.170212765957447,0.0147858682354152,NA,NA,NA,FALSE,0.500093841434524,0.61353157495089,FALSE,"KSM only",43
"Lysobacter",0.117809298660362,0.0603624901497242,0.269661150512214,0,0,0.106382978723404,0.00415003205774505,NA,NA,NA,FALSE,0.381680217845687,0.503971895116945,FALSE,"KSM only",44
"Unclassified_Enterobacteriaceae",0.116863672182821,0.0654058313632782,0.274099684791174,0,0,0.127659574468085,0.0338193038225839,NA,NA,NA,FALSE,0.588372172253706,0.689776072384441,FALSE,"KSM only",45
"Kitasatospora",0.115602836879433,0.0475177304964539,0.277860520094563,0,0.002,0.106382978723404,0.0181556470487514,NA,NA,NA,FALSE,0.486403684249159,0.600704001591185,FALSE,"KSM only",46
"Cellulomonas",0.109535066981876,0.0654058313632782,0.292202521670607,0,0,0.127659574468085,0.0223809436162434,NA,NA,NA,FALSE,0.531929258126852,0.633153186458251,FALSE,"KSM only",47
