"Genus","Community","KSM","Prevalence","Detected_samples","Mean_relative_abundance_percent","Is_anti_Bd","Bootstrap_median","Bootstrap_CI_low","Bootstrap_CI_high","Top10_frequency","Top20_frequency","Bootstrap_iterations","KSM_rank","ANCOMBC2_robust_FDR05","ANCOMBC2_q","ALDEx2_q","ALDEx2_FDR05","Method_agreement","Cross_method_support"
"Aquisphaera","Whole community",0.402915681639086,0.319148936170213,15,0.0108842714110301,FALSE,0.429078014184397,0.306382978723404,0.540541765169425,0,0,1000,133,FALSE,NA,0.167344613590382,FALSE,"Neither","KSM only"
"Knoellia","Whole community",0.40220646178093,0.574468085106383,27,0.241631978408394,FALSE,0.451103230890465,0.316042159180457,0.597488179669031,0,0,1000,134,FALSE,0.00749809295636562,0.618026847833918,FALSE,"Neither","KSM only"
"Microvirga","Whole community",0.401024428684003,0.51063829787234,24,0.050454974940395,FALSE,0.444720252167061,0.31331560283688,0.605992907801418,0,0.001,1000,135,FALSE,0.00596842302610765,0.696651342755136,FALSE,"Neither","KSM only"
"Unclassified_Nostocaceae","Whole community",0.400551615445232,0.276595744680851,13,0.0712382232773296,FALSE,0.423404255319149,0.261294326241135,0.559495665878645,0,0,1000,136,FALSE,NA,0.257222732354476,FALSE,"Neither","KSM only"
"MN 122.2a","Whole community",0.400078802206462,0.446808510638298,21,0.0506427327930363,FALSE,0.440661938534279,0.309495665878645,0.582667454688731,0,0,1000,137,FALSE,NA,0.539065481157907,FALSE,"Neither","KSM only"
"Calditerricola","Whole community",0.399369582348306,0.319148936170213,15,0.0231630810284938,FALSE,0.418439716312057,0.263591410559496,0.557876280535855,0,0,1000,138,FALSE,NA,0.0473357034419824,TRUE,"ALDEx2 only","ALDEx2 only"
"Bosea","Whole community",0.39558707643814,0.617021276595745,29,0.089987757544624,TRUE,0.475965327029157,0.329359732072498,0.62506304176517,0,0.003,1000,139,FALSE,0.0710945933990008,0.303569069261061,FALSE,"Neither","KSM only"
"Rubrobacter","Whole community",0.393538219070134,0.319148936170213,15,0.142907389950456,FALSE,0.419267139479905,0.280606776989756,0.545713159968479,0,0,1000,140,FALSE,NA,0.0149077037050773,TRUE,"ALDEx2 only","ALDEx2 only"
"Sphingobacterium","Whole community",0.393144208037825,0.404255319148936,19,0.267610854830153,TRUE,0.443420015760441,0.300390070921986,0.584255319148936,0,0,1000,141,FALSE,NA,0.0758962736139969,FALSE,"Neither","KSM only"
"Dactylosporangium","Whole community",0.390543735224586,0.319148936170213,15,0.0344737906784323,FALSE,0.437391646966115,0.307864460204886,0.550833333333333,0,0,1000,142,FALSE,NA,0.131149685820987,FALSE,"Neither","KSM only"
"Curtobacterium","Whole community",0.390149724192277,0.51063829787234,24,0.110020707869042,TRUE,0.48364854215918,0.340772261623325,0.619976359338062,0,0.001,1000,143,TRUE,0.00316271743455261,0.0538205690830252,FALSE,"ANCOM-BC2 only","ANCOM-BC2 only"
"Quadrisphaera","Whole community",0.388731284475965,0.425531914893617,20,0.0602159626394305,FALSE,0.434712371946415,0.298339243498818,0.56233451536643,0,0,1000,144,FALSE,NA,0.211163681850257,FALSE,"Neither","KSM only"
"Stenotrophomonas","Whole community",0.388258471237195,0.723404255319149,34,0.801974490538632,TRUE,0.492159180457053,0.360661938534279,0.634454294720252,0,0.002,1000,145,TRUE,0.0153159480642158,0.022583007911928,TRUE,"Both","ANCOM-BC2 + ALDEx2"
"Sediminibacterium","Whole community",0.3876280535855,0.446808510638298,21,0.065800467680313,FALSE,0.436958234830575,0.300462962962963,0.5900768321513,0,0,1000,146,FALSE,NA,0.383128735488958,FALSE,"Neither","KSM only"
"Unclassified_Spirosomaceae","Whole community",0.387234042553192,0.340425531914894,16,0.0143735827416757,FALSE,0.452442868400315,0.341252955082742,0.553810086682427,0,0,1000,147,FALSE,NA,0.101121873933956,FALSE,"Neither","KSM only"
"Methylopila","Whole community",0.386918833727344,0.51063829787234,24,0.0522949925073121,FALSE,0.450315208825847,0.302594562647754,0.619521276595745,0.001,0.005,1000,148,FALSE,0.0389523894586252,0.605112518850716,FALSE,"Neither","KSM only"
"Pajaroellobacter","Whole community",0.384554767533491,0.723404255319149,34,0.0756135056431997,FALSE,0.482624113475177,0.3499487785658,0.629446414499606,0,0.001,1000,149,FALSE,0.7462301083478,0.299788710500509,FALSE,"Neither","KSM only"
"Unclassified_Vicinamibacteraceae","Whole community",0.384397163120567,0.553191489361702,26,0.0232502779645166,FALSE,0.450512214342002,0.320979117415288,0.620116233254531,0,0.001,1000,150,FALSE,0.0255740775664943,0.307167221110397,FALSE,"Neither","KSM only"
"Unclassified_KD3-93","Whole community",0.384318360914106,0.234042553191489,11,0.00783235706039607,FALSE,0.398502758077226,0.253187549251379,0.548782505910166,0,0,1000,151,FALSE,NA,0.209165023398413,FALSE,"Neither","KSM only"
"Pedobacter","Whole community",0.382505910165485,0.51063829787234,24,0.120742266931094,TRUE,0.451891252955083,0.30266548463357,0.620888494877857,0,0.002,1000,152,FALSE,0.000515964495291306,0.405970308824957,FALSE,"Neither","KSM only"
"Lapillicoccus","Whole community",0.382269503546099,0.361702127659574,17,0.118302253000774,FALSE,0.409338061465721,0.282111899133176,0.543012214342002,0,0,1000,153,FALSE,NA,0.232346726491562,FALSE,"Neither","KSM only"
"Unclassified_Isosphaeraceae","Whole community",0.381087470449173,0.659574468085106,31,0.0512453600923897,FALSE,0.456225374310481,0.314558707643814,0.588059495665879,0,0,1000,154,FALSE,0.0232273077005065,0.592516152279762,FALSE,"Neither","KSM only"
"Paenibacillus","Whole community",0.378014184397163,0.659574468085106,31,0.186151588437968,TRUE,0.449881796690307,0.311617415287628,0.587951142631994,0,0,1000,155,FALSE,0.000514041793069245,0.411982028160385,FALSE,"Neither","KSM only"
"Chitinophaga","Whole community",0.378014184397163,0.319148936170213,15,0.018770061172806,FALSE,0.399290780141844,0.256028368794326,0.542322695035461,0,0,1000,156,FALSE,NA,0.354816862888142,FALSE,"Neither","KSM only"
"Unclassified_A4b","Whole community",0.373995271867612,0.361702127659574,17,0.0224184435256017,FALSE,0.41859732072498,0.266532702915682,0.572019306540583,0,0,1000,157,FALSE,NA,0.623114343024787,FALSE,"Neither","KSM only"
"Unclassified_LWQ8","Whole community",0.373601260835303,0.382978723404255,18,0.00532255864150407,FALSE,0.415366430260047,0.25531914893617,0.573703703703704,0,0,1000,158,FALSE,NA,0.479293351410319,FALSE,"Neither","KSM only"
"Novosphingobium","Whole community",0.372498029944838,0.808510638297872,38,0.235284754149815,TRUE,0.456107171000788,0.335746650906225,0.600711189913318,0,0,1000,159,FALSE,0.105009741426036,0.0990203370970604,FALSE,"Neither","KSM only"
"Flavisolibacter","Whole community",0.372340425531915,0.48936170212766,23,0.0839229465486004,FALSE,0.447005516154452,0.317622143420016,0.577712765957447,0,0,1000,160,FALSE,0.478904670158361,0.247116282619046,FALSE,"Neither","KSM only"
"Unclassified_Parachlamydiaceae","Whole community",0.372261623325453,0.382978723404255,18,0.013626053352213,FALSE,0.404649330181245,0.272320724980299,0.515526004728132,0,0,1000,161,FALSE,NA,0.487349716385498,FALSE,"Neither","KSM only"
"Unclassified_Ktedonobacteraceae","Whole community",0.37210401891253,0.297872340425532,14,0.0930128698482086,FALSE,0.386170212765957,0.241449960598897,0.536883372734437,0,0,1000,162,FALSE,NA,0.253874895359138,FALSE,"Neither","KSM only"
"Subgroup 10","Whole community",0.371473601260835,0.361702127659574,17,0.0261223706177696,FALSE,0.408668242710796,0.280135933806147,0.526091410559496,0,0,1000,163,FALSE,NA,0.439158710545503,FALSE,"Neither","KSM only"
"Granulicella","Whole community",0.369661150512214,0.425531914893617,20,0.110840086380253,FALSE,0.43053585500394,0.275713159968479,0.591040189125295,0,0,1000,164,FALSE,0.00147597682373584,0.4558508665805,FALSE,"Neither","KSM only"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Whole community",0.366903073286052,0.893617021276596,42,0.33811294111835,TRUE,0.461150512214342,0.345283687943262,0.622582742316785,0,0.002,1000,165,FALSE,0.105009741426036,0.828815924070811,FALSE,"Neither","KSM only"
"Unclassified_Acidobacteriaceae (Subgroup 1)","Whole community",0.36414499605989,0.361702127659574,17,0.0418919033811714,FALSE,0.406461780929866,0.258628841607565,0.552009456264775,0,0,1000,166,FALSE,NA,0.519615940372148,FALSE,"Neither","KSM only"
"Taibaiella","Whole community",0.362962962962963,0.531914893617021,25,0.0441370254918185,FALSE,0.42210401891253,0.269079984239559,0.582429078014184,0,0.001,1000,167,FALSE,0.00580517276062486,0.270541610992735,FALSE,"Neither","KSM only"
"Mycoplasma","Whole community",0.362017336485422,0.531914893617021,25,0.178857842493838,FALSE,0.440070921985816,0.309176516942474,0.600265957446808,0,0.001,1000,168,FALSE,9.2687920670975e-06,0.46616924130698,FALSE,"Neither","KSM only"
"Nevskia","Whole community",0.362017336485422,0.212765957446809,10,0.0122491909680099,FALSE,0.375965327029157,0.229741922773838,0.508510638297872,0,0,1000,169,FALSE,NA,0.157348853566013,FALSE,"Neither","KSM only"
"Chthonomonas","Whole community",0.361623325453113,0.404255319148936,19,0.0141495094556711,FALSE,0.398502758077226,0.260890464933018,0.547393617021277,0,0,1000,170,FALSE,NA,0.342834113620851,FALSE,"Neither","KSM only"
"Puia","Whole community",0.361150512214342,0.297872340425532,14,0.029577675423963,FALSE,0.406776989755713,0.249637509850276,0.551302206461781,0,0,1000,171,FALSE,NA,0.189399444674919,FALSE,"Neither","KSM only"
"Haemophilus","Whole community",0.360835303388495,0.276595744680851,13,0.103196287307399,FALSE,0.389085894405043,0.234672970843184,0.570531914893617,0,0,1000,172,FALSE,NA,0.509669115420088,FALSE,"Neither","KSM only"
"Finegoldia","Whole community",0.358156028368794,0.319148936170213,15,0.0357099694684854,FALSE,0.390898345153664,0.246333727344366,0.53096926713948,0,0,1000,173,FALSE,NA,0.0428820681463104,TRUE,"ALDEx2 only","ALDEx2 only"
"Unclassified_Chthoniobacteraceae","Whole community",0.354609929078014,0.297872340425532,14,0.0400827258374129,FALSE,0.393262411347518,0.233353033884949,0.556501182033097,0,0,1000,174,FALSE,NA,0.454487770036936,FALSE,"Neither","KSM only"
